Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
MERMAID HOTEL & CLUB,"MAHAWASKADUWA, KALUTARA",72,TWO,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9449,6.61728
HOTEL TOPAZ,"ANNIWATTE, KANDY",75,TWO,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,80.625213,7.29056
CAMELOT BEACH HOTEL,"NO.345,LEWIS PLACE,NEGOMBO.",81,ONE,Gampaha,Negombo,Negombo Divisional Secretariat,79.841047,7.233243
THE VILLAGE,NATIONAL HOLIDAY RESORT POLONNNARUWA.,36,ONE,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.993096,7.924764
CENTAURIA LAKE,"NEW TOWN,EMBILIPITIYA.",52,ONE,Ratnapura,Embilipitiya,Embilipitiya Divisional Secretariat,80.856132,6.320182
KASSAPA LIONS ROCK,"DIGAMPATHAHA,KIMBISSA.",31,TWO,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.727282,7.979678
HERITANCE NEGOMBO,"NO.175,LEWIS PLACE,NEGOMBO.",140,FIVE,Gampaha,Negombo,Negombo Divisional Secretariat,79.838021,7.208799
HIBISCUS BEACH HOTEL,"MAHAWASKADUWA,KALUTARA NORTH,KALUTHARA",51,ONE,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.946725,6.615207
HOTEL BENTOTA VILLAGE,"ALWIS ROAD,WARAHENA,BENTOTA",14,TWO,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.004672,6.406818
COLOMBO CITY HOTEL,"LEVEL 3,NO.33,CANAL ROW,COLOMBO 01.",48,ONE,Colombo,Colombo,Colombo Divisional Secretariat,79.844229,6.933327
HOTEL KABALANA,"KATHALUWA,AHANGAMA",22,TWO,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.347884,5.977906
RAMADIA RANMAL HOLIDAY RESORT,"346/5,GALLE ROAD,GORAKANA,MORATUWA",25,ONE,Kalutara,Moratuwa,Moratuwa Divisional Secretariat,79.8977545,6.7636079
HOTEL DULYANA,"488/18,MAITHREEPALA SENANAYAKE MW,ANURADHAPURA",30,TWO,Anuradhapura,Anuradhapura,N.P.East,80.405856,8.325802
