Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
MIHISARA LAKE VIEW,"MIHISARA LAKE VIEW, DEBARAWEWA, TISSAMAHARAMA.",2,STANDARD,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.2669863,6.2854503
DAN HOME,"909/10G, ADIKARAM MAWATHA, ETHUL KOTTE.",2,SUPERIOR,Colombo,Kotte Muncipal Council,Sri jayawadanapura,79.9010913,6.9033653
PIYASA,"88/2, 14TH LANE, I.JOTHIPALA MAWATHA, PITTUGALA, MALABE.",3,SUPERIOR,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,NULL,NULL
ARMITAGE RESIDENCE,"ARACHCHIKANDA, WACKWELLA, GALLE.",3,SUPERIOR,Galle,Galle,Galle Divisional Secretariat,NULL,NULL
MOUNTAIN VIEW,"245/5, PILIMATHALAWA GARDENS, PILIMATHALAWA.",5,SUPERIOR,Kandy,Kandy,Yatinuwara Divisional Secretariat,NULL,NULL
ALEX HOME STAY,"255/23C, DR. C.D.L.FERNANDO MW, KATUGASTOTA ROAD, KANDY.",1,SUPERIOR,Kandy,Kandy,Gagawata,80.6291315,7.31143
EESHANI GUEST INN,"22/3,POLICE STATION ROAD, ELLA.",5,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.046147,6.8752783
SEMINI HOLIDAY RESORT,"2ND LANE,MATHALE JUNCTION, ANURADHAPURA.",5,STANDARD,Anuradhapura,Mihintale Pradeshiya Sabha,Mihintale,80.4436319,8.3517912
LAHIRU PLACE,"119,ARUGAMBAY,POTTUVIL ,P/18.",4,STANDARD,Ampara,Ampara,Ampara Divisional Secretariat,81.833434,6.838767
BEACH VIEW CABANA,"90,ARUGAMBAY,POTTUVIL,P/18.",5,STANDARD,Ampara,Ampara,Ampara Divisional Secretariat,81.8283956,6.8428152
MID BAY GUEST HOUSE,"MEEZAN ROAD,ARUGAMBAY,POTTUVIL.",4,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,81.828499,6.8462378
NICE PLACE,"ARUGAMBAY,POTTUVIL.",3,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,81.8291893,6.8463593
MOON EYES BEACH HOTEL,"MAIN STREET,ARUGAMBAY,POTTUVIL.",8,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,81.8391081,6.8732789
SEA ROCK,"57A,BEACH CROOSE ROAD, P/18.",2,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,NULL,NULL
FREEDOM BEACH GUEST HOUSE,"BEACH ROAD, ULLAI, POTTUVIL,ARUGAMBAY.",5,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,81.834852,6.839377
SHASHINI BEACH RESORT,"ARUGAMBAY,POTTUVIL.",9,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,NULL,NULL
CHOOTY PLACE,"ARUGAMBAY,POTTUVIL.",4,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,NULL,NULL
ONAYA GUEST,"AKKARAIPATTU ROAD,POTTUVIL-09.",3,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,NULL,NULL
ANOTHER WORLD,"ARUGAMBAY,POTTUVIL.",4,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,NULL,NULL
ARNE'S PLACE,"53A,ARUGAMBAY,POTTUVIL -18.",3,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,NULL,NULL
TROPICANA,"189,MAIN STREET,ARUGAMBAY,POTTUVIL -18.",4,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,NULL,NULL
ZIM BAY,"MAIN STREET,ARUGAMBAY,POTTUVIL-05",6,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,81.8296849,6.841629
HAPPY PANDA,"ARUGAMBAY,POTTUVIL 18.",3,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,81.8312445,6.84312
HARMONY BEACH HOTEL,"SIINA ULLAI,ARUGAMBAY,POTTUVIL-P/18",5,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,81.8289143,6.8499967
EVER GREEN LOUNGE,"MAIN STREET, ARUGAMBAY, POTTUVIL.",3,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,NULL,NULL
PEACE HEAVEN RESORT,"KADURUPOKUNE VILLAGE, GOYAMBOKKA,82200 TANGALLE.",4,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.6457853,7.3033077
GREEN BEACH HOTEL,"SINNAULLAY, POTUVIL",3,STANDARD,Ampara,N/A,Pottuvil Divisional Secretariat,NULL,NULL
WHITE HOUSE BUNGALOW,"3/1 A, GALKANDA ROAD, ANIWATTA, KANDY.",4,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
THE MEET,"ZONE 7, LOT 21 - K, MILLENNIUM CITY, ORUWALA, ATHURUGIRIYA.",2,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
DELMA BUNGALOW,"1009/6, NAGAHAMULLA ROAD, PELAWATTE, BATTARAMULLA.",4,DELUXE,Colombo,Colombo,kaduwela Divisional Secretariat,79.922537,6.8856282
STAR REST BEACH HOTEL,"02, NICE PLACE, ARUGAMBAY, POTTUVIL. P/18.",3,STANDARD,Ampara,Ampara,Pottuvil Divisional Secretariat,81.8279482,6.8504456
LUCKTISSME GUEST HOME,"125,PITAKANDA ROAD, MAHAYAYA, KANDY.",4,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
THISARA HOLIDAY BUNGALOW,"83, CONTINENTAL RESIDENSIES, ADNEWS ROAD, PERIYAMULLA,NEGOMBO.",4,SUPERIOR,Gampaha,Negombo,Negombo Divisional Secretariat,79.8442876,7.2239927
LILLY ROSA,"41/41/D, RICHMOND HILL, POLWATTE,SUDUHUMPOLA,KANDY",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.6244403,7.2800016
RAMPART VIEW GUEST HOUSE,"37, RAMPART STREET, FORT, GALLE.",4,SUPERIOR,Galle,Galle,Galle Divisional Secretariat,80.217303,6.024423
KANDYAN MANOR,"214/3, RAJASINGHARAMA MW, GALAGEDARA RD, YATIWAWALA,KATUGASTOTA.",3,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.612166,7.3260547
CHELSEA GARDENS,"20, CHELSEA GARDENS, COLOMBO 3",3,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
WALAUWA,"WALAWWEWATTE, KOBBEWALA, GAMPOLA",2,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
MOUNTAIN EDGE,"16/8,SAMADHI MW, AMPITIYA, KANDY",1,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
FRANGIPANI,"24/2F-2/1, HILL STREET,DEHIWALA",3,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.8656393,6.8506373
ROCK CASCADE HOME STAY,"CIRCULER ROAD, POLONNARUWA.",3,STANDARD,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,81.0010761,7.9397167
WHITE HOUSE,"219/4, LUWIS PLACE, NEGOMBO",7,STANDARD,Gampaha,Negombo,Gampaha Divisional Secretariat,NULL,NULL
AMPERSAND,"WELIHELAGAMA ROAD, ELLAGAMA,DIYATALAWA",6,DELUXE,Badulla,Badulla,Badulla Divisional Secretariat,80.942862,6.8200009
PADDY VIEW,"51, MAITHRI MW, WATAPULUWA, KANDY",3,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
BREEZE OF PARADISE,"35/8A, MEEGAHAWATTA RD, GANGODAWILA ,NUGEGODA.",2,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,79.9006381,6.8602118
KIRINDA WALAWWA,"""KIRINDA WALAUWA"",HONDIYADENIYA ROAD,GAMPOLA",4,DELUXE,Kandy,N/A,Gampola Divisional Secretariat,NULL,NULL
MOUNT LAVINIA HOME STAY,"17/7 OFF DE SARAM RD,MOUNT LAVINIA",3,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,79.8641777,6.8409658
THE WHITE NEST,"48A,HOTEL ROAD,MOUNT LAVINIA",3,SUPERIOR,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia,79.8625653,6.8340033
SUN FLOWER INN,"SUN FLOWER INN,TEMPLE JUNCTION,DAMBULLA",3,STANDARD,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.6522441,7.8523923
BALAPOKUNA VILLA,"NO. 12/8, BALAPOKUNA, PURANA VIHARA ROAD, COLOMBO 06",1,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,79.8757808,6.8715737
SRILAL'S HOME STAY,"""SRILAL'S HOME STAY"",67,PARAKRAMA ROAD,KURANA,NEGAMBO",4,SUPERIOR,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL
