Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude
UNAWATUNA BEACH RESORT,"PARANGIYAWATTA,UNAWATUNA,GALLE",73,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.2470003,6.0104413
HIKKADUWA BEACH HOTEL,"298,GALLE ROAD,HIKKADUWA",52,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.099433,6.138497
PALM PARADISE CABANAS,"GOYAMBOKKA,TANGALLE",22,Hambantota,Hambantota,Tangalle Divisional Secretariat,80.7802,6.009518
AIDA HOTEL,"NO.12A,MANGALA MAWATHA,BENTOTA",34,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.9960523,6.4245209
AIDA HOTEL-INDURUWA,"NO.798,GALLE ROAD,YALEGAMA,INDURUWA",10,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,NULL,NULL
ALPINE HOTEL,"NO.4 ,HADDON HILL ROAD,NUWARAELIYA",25,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.7637973,6.9625923
CITRUS - HIKKADUWA,"NO.400,GALLE ROAD,HIKKADUWA",54,Galle,Galle,Hikkaduwa Divisional Secretariat,80.102953,6.129744
AMBALAMA LEISURE LOUNGE,"IHALA HANWELLA,HANWELLA",14,Colombo,Colombo,Colombo Divisional Secretariat,80.095664,6.912643
AYURVEDA WALAUWA,"WARAHENA,BENTOTA",20,Galle,Galle,Benthota Divisional Secretariat,79.999999,6.42
BARBERYN AYURVEDIC BEACH RESORT,"KAPPARATOTA,WELIGAMA",60,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.407254,5.959899
BINVINO,"GAMPOLA WATTA, NARANVITA, GAMPOLA.",25,Kandy,Kandy,Doluwa Divisional Secretariat,80.589352,7.167381
CLUB PARADISE HOTEL,"NATIONAL HOLIDAY RESORT,BENTOTA",24,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.9894613,6.4373579
HOTEL COUNTRY COMFORT,"32,POLICE STATION ROAD,ELLA",18,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.048373,6.876185
DREAM BEACH HOTEL,"NO.509,GALLE ROAD AMBALANGODA",24,Galle,Galle,Ambalangoda Divisional Secretariat,80.046462,6.245428
HOTEL EVA LANKA,"HOTEL EVA LANKA,TANGALLE ROAD,TANGALLE.",29,Hambantota,Hambantota,Tangalle Divisional Secretariat,80.762216,6.002818
HOTEL EDEN GARDEN,"SIGIRIYA ROAD,INAMALUWA,DAMBULLA",36,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.688691,7.929571
ELLA JUNGLE RESORT,"UVA,KARANDAGOLLA,ELLA",22,Badulla,Badulla,Badulla Divisional Secretariat,81.0715806,6.8268869
GOLDEN STAR BEACH HOTEL,"NO.163,LEWIS PLACE,NEGOMBO",62,Gampaha,Negombo,Negombo Divisional Secretariat,79.840343,7.226821
HANTANE SHADOW RESORT,"SPRING HILL ESTATE,HEERASSAGALA,KANDY",11,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,80.632433,7.261332
HELGAS FOLLY,"NO.70,RAJAPIHILLA MAWATHA,KANDY.",25,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,80.646196,7.284489
BAY BEACH HOTEL,"KAPPARATOTA,WELIGAMA",60,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.418936,5.959292
HILL CLUB,"29,GRAND HOTEL ROAD,NUWARAELIYA",39,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.763416,6.970311
POLONNARUWA HOLIDAY INN,"POLONNARUWA HOLIDAY INN, BENDIWEWA, POLONNARUWA",24,Polonnaruwa,Polonnaruwa,Polonnaruwa Divisional Secretariat,80.988284,7.959284
HOTEL CHANDRIKA,"KATARAGAMA ROAD, TISSAMAHARAMA",20,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.331018,6.412938
HOTEL CHATHUMEDURA VILLAGE INN,"NO.258/1,IHALAYAGODA,YAGODA",22,Gampaha,Gampaha,Gampaha Divisional Secretariat,80.000686,7.053018
HOTEL HEMALEE,"POLONNARUWA ROAD,GIRITALE",16,Polonnaruwa,Hingurakgoda Pradeshiya Sabha,Hingurakgoda Divisional Secretariat,80.926184,7.995609
OLYMPUS PLAZA HOTEL,"NO.75,WELIMADA ROAD,HAPUTALE",30,Badulla,Haputale,Haputale Divisional Secretariat,80.952255,6.766203
HOTEL SANSINDA,"AKURUGODA,TISSAMAHARAMAYA",18,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,NULL,NULL
INDURUWA BEACH RESORT,"GALLE ROAD,KAIKAWALA,INDURUWA",90,Galle,Galle,Galle Divisional Secretariat,80.008537,6.376688
INSIGHT,"NO.67,MATARA ROAD,AHANGAMA.",32,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.359938,5.973159
KOSGODA BEACH RESORT,"P.O.BOX.1,NUPE,KOSGODA",50,Galle,Galle,Balapitiya Divisional Secretariat,80.024891,6.341
LAYA LEISURE - KUKULEGANGA,"AUSKVALLY,MOLAKAWA",64,Kalutara,Kalutara Pradeshiya Sabha,Baduraliya,80.233872,6.582918
