Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
RANMIN BELLAIR BUNGALOW,"BELLAIR ESTATE,PUWAKPITIYA",5,DELUXE,Colombo,Seethawaka Pradeshiya Sabha,Hanwella,NULL,NULL
OCEAN CREST,"NO:123,GALLE ROAD,AHANGAMA.",8,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.354672,5.975647
THE TEAK SHADE,"NO 200/19 MEEWALADENIYA, HANDESSA,GELI OYA, KANDY",2,DELUXE,Kandy,Kandy,Udunuwara Divisional Secretariat,NULL,NULL
NISALA VILLA,"108/6, HAPUGODA, AMBATENNA",3,DELUXE,Kandy,Harispattuwa Pradeshiya Sabha,Harispattuwa Divisional Secretariat,80.608337,7.349201
ECO LANKA VILLA,"MAUSSAWA ESTATE, HALPOLA, PUUDALUOYA",8,STANDARD,Nuwara Eliya,Nuwara Eliya,Kothmale Divisional Secretariat,80.64202,7.019245
SERENE HOLIDAY BANGALOW,"NO 17A, PIRIS WEDA MAWATHA, KALUWADUMULLA, AMBALANGODA",3,DELUXE,Galle,Ambalangoda,Ambalangoda Divisional Secretariat,NULL,NULL
THE COVE PASSIKUDAH,"NASSIVANTHWU, OFF WALACHCHENAI",4,DELUXE,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.539806,7.934389
CASA MIJA,"N0 37,GALLE ROAD,KAMBURUGAMUWA",5,DELUXE,Matara,Weligama Pradeshiya Sabha,Welimada Divisional Secretariat,80.618416,7.254844
THE FERN COVE VILLA,"465/4,LAKE ROAD,AKUREGODA,BATTARAMULLA.",5,DELUXE,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,NULL,NULL
LIYON REST,"4TH MAIL POST, SIGIRIYA",4,STANDARD,Matale,Matale,Dambulla Divisional Secretariat,NULL,NULL
THUSARE TALKING HANDS,"NO 103/12, DHARMAPALA MAWATHA, COLOMBO 07",2,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.857257,6.914122
SIGIRI ACCESS VILLA,"NO 90, SIGIRI ROAD, INAMALUWA",5,SUPERIOR,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,NULL,NULL
LAKMINI,"KAYANWALA, SIGIRIYA",5,STANDARD,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,NULL,NULL
SUNSHINE RESORTS,"NO 78, KOVIL ROAD,MASKELIYA.",4,STANDARD,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.571781,6.831458
42 LIGHT HOUSE STREET,"42, LIGHTHOUSE STREET, GALLE",4,DELUXE,Galle,Galle,Galle Divisional Secretariat,80.216417,6.027748
SAL ROCK FALLS,"376/5, ARANYA ROAD, SPRING HILL ESTATE, BOWALAWATTE, KANDY",4,SUPERIOR,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,NULL,NULL
MOUNTAIN ROCK HOLIDAY RESORT,"NO.202/3,BOWELAWATTA,KANDY",2,SUPERIOR,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.617917,7.260512
SUNTOP INN,"NO 18,POLICE ROAD,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
FREEDOM GUEST INN,"132/1,SAPUMALTHANNA,PASSARA ROAD,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
ROCK VIEW,"ROCK VIEW GUEST HOUSE,ELLA",5,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
SANROCK,"NO 9, RATHNAGIRI WATTA, ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
BACK OF BEYOND PIDURANGALA,"KURULU UYANA, TEMPLE ROAD, PIDURANGALA, SIGIRIYA",4,SUPERIOR,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.763529,7.969325
