Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
LAGOON VIEW GUEST HOUSE AND RESTAURANT,"STATION KANDA, HORAWALA, HABURUGALA",5,A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,NULL,NULL
OCEAN VILLA,"NO. 14, JOHN KEELS HOUSING COMPLEX, PINWATTA, PANADURA",4,A,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.930813,6.655353
HILL TOP HOLIDAY INN,"NO. 150, KANDALANDA, HIGH LEVEL ROAD, HOMAGAMA",10,B,Colombo,Homagama Pradeshiya Sabha,Homagama Divisional Secretariat,NULL,NULL
SYZYGY GARDEN,"NO. 475, KURUNDANKULAMA ANURADHAPURA",7,B,Anuradhapura,Anuradhapura,Anuradhapura East,80.446212,8.346319
KANRO HOLIDAY RESORT,"NO. 117, HANWELLA ROAD, TITTAPATHTHARA",7,B,Gampaha,Gampaha,Gampaha Divisional Secretariat,80.084443,6.930542
THE MOUNTAIN HEAVENS,"KITHAL ELLA, ELLA",9,A,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.046036,6.871162
SOLIS TOURIST REST,"NO. 217, NUPE, MATARA",10,A,Matara,Matara,Matara Divisional Secretariat,80.536898,5.948347
ANON REST,"YAPAGAMA, MATALE ROAD, DAMBULLA",18,A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.653899,7.846443
HOTEL WESTEERN,"NO. 35, FRANKFURT PLACE, COLOMBO 04",44,A,Colombo,Colombo,Colombo Divisional Secretariat,79.855433,6.883914
HOTEL GREEN VALLEY,"OLD COLOMBO ROAD, HANWELLA",18,A,Colombo,Colombo,Colombo Divisional Secretariat,80.077071,6.909187
LAGOON GARDEN,"KALAWILAWATTA, MORAGALLA, ALUTHGAMA",5,B,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.991388,6.445224
GREENLANDS HOTEL,"3A, SHRUBERY GARDENS, BAMBALAPITIYA, COLOMBO 04",16,A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,NULL,NULL
HOTEL ELEPHANT VIEW,"PINNAWALA, RAMBUKKANA",4,A,Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,80.385921,7.298837
HOTEL ROSILU,"NO. 60/5/A, KANDY ROAD, THIHARIYA, KALAGEDIHENA",6,B,Gampaha,Attanagalla Pradeshiya Sabha,Attanagalla Divisional Secretariat,80.068738,7.124225
ISHAN HOTEL,"NO. 583, COLOMBO ROAD, UTUWANKANDA, MAWANELLA",10,A,Kegalle,Kegalle,Mawanella Divisional Secretariat,80.428744,7.2519
SURFING VILLA,"WELHANGODA, AHANGAMA,",6,B,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.348913,5.978203
HOTEL BLUE NOTE,"NO. 424, GALLE ROAD, HIKKADUWA",9,B,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.104097,6.12801
OLANKA HOTEL AND RESTAURANT,"NO. 9TH LANE, MILE POST, KARUWALAGASWEWA, PUTTLAM",8,B,Puttalam,Karuwalagaswewa Pradeshiya,Karuwalagaswewa Divisional Secretariat,79.959919,8.057558
OASIS GREEN GARDEN TOURISRT GUEST HOUSE,"UDUGAMPOLAWATTA, PAHALAGAMA, GAMPAHA",10,A,Gampaha,Gampaha,Gampaha Divisional Secretariat,NULL,NULL
